               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.024007,            0.046898,           0.0049537,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006667,            0.006667,            0.006667
                 103,            0.023292,            0.047951,           0.0046195,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006634,            0.006634,            0.006634
                 104,            0.023089,            0.045127,           0.0047531,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006601,            0.006601,            0.006601
                 105,            0.022179,            0.046761,           0.0047288,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006568,            0.006568,            0.006568
                 106,            0.023087,            0.043742,           0.0048311,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                 107,            0.022695,            0.046812,           0.0047804,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006502,            0.006502,            0.006502
                 108,            0.022877,             0.04536,            0.004873,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006469,            0.006469,            0.006469
                 109,            0.022336,            0.047797,           0.0045995,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                 110,            0.023148,            0.048513,           0.0047539,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006403,            0.006403,            0.006403
                 111,            0.021767,             0.04978,            0.004578,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00637,             0.00637,             0.00637
                 112,            0.023208,            0.047737,           0.0045398,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006337,            0.006337,            0.006337
                 113,            0.022324,             0.04567,           0.0043453,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006304,            0.006304,            0.006304
                 114,            0.022893,            0.047286,           0.0047624,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006271,            0.006271,            0.006271
                 115,            0.022129,            0.044128,           0.0043683,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                 116,            0.022671,            0.045963,           0.0045323,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006205,            0.006205,            0.006205
                 117,            0.022023,            0.046129,           0.0045298,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006172,            0.006172,            0.006172
                 118,            0.022905,             0.04597,           0.0048525,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006139,            0.006139,            0.006139
                 119,            0.021719,            0.045225,           0.0045922,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006106,            0.006106,            0.006106
                 120,            0.022356,            0.046082,           0.0044899,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006073,            0.006073,            0.006073
                 121,            0.021228,            0.045261,           0.0043736,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                 122,            0.022286,            0.046059,           0.0045438,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006007,            0.006007,            0.006007
                 123,            0.021798,            0.047668,           0.0044223,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005974,            0.005974,            0.005974
                 124,            0.022051,            0.043655,           0.0042727,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005941,            0.005941,            0.005941
                 125,            0.021463,            0.046017,           0.0042614,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005908,            0.005908,            0.005908
                 126,            0.022029,            0.044006,           0.0041516,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005875,            0.005875,            0.005875
                 127,            0.021266,            0.044347,           0.0043698,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                 128,            0.021827,            0.044628,           0.0042586,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005809,            0.005809,            0.005809
                 129,            0.021101,             0.04194,           0.0043317,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005776,            0.005776,            0.005776
                 130,            0.021546,            0.044782,           0.0044483,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005743,            0.005743,            0.005743
                 131,            0.021043,            0.043179,           0.0039389,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00571,             0.00571,             0.00571
                 132,            0.021057,             0.04294,           0.0039448,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005677,            0.005677,            0.005677
                 133,            0.020416,            0.045249,           0.0041656,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                 134,            0.021716,            0.045591,           0.0044097,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005611,            0.005611,            0.005611
                 135,            0.020755,             0.04243,           0.0042506,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005578,            0.005578,            0.005578
                 136,            0.021598,            0.043072,           0.0041365,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                 137,            0.020671,            0.043111,           0.0038894,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005512,            0.005512,            0.005512
                 138,            0.021205,            0.044521,           0.0039693,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005479,            0.005479,            0.005479
                 139,            0.019833,            0.042385,           0.0040097,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                 140,            0.021026,            0.042344,           0.0038751,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005413,            0.005413,            0.005413
                 141,            0.020126,            0.042417,           0.0040305,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00538,             0.00538,             0.00538
                 142,            0.020938,            0.046382,           0.0039657,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005347,            0.005347,            0.005347
                 143,            0.019918,            0.040732,           0.0038713,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005314,            0.005314,            0.005314
                 144,            0.020541,            0.043971,           0.0038544,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005281,            0.005281,            0.005281
                 145,            0.019303,            0.040216,            0.003769,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                 146,            0.020587,            0.043942,           0.0039952,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005215,            0.005215,            0.005215
                 147,            0.019394,            0.041332,           0.0039608,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005182,            0.005182,            0.005182
                 148,            0.021149,            0.046012,           0.0040069,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005149,            0.005149,            0.005149
                 149,            0.020215,            0.042055,           0.0035832,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005116,            0.005116,            0.005116
                 150,            0.020679,            0.043651,           0.0037784,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005083,            0.005083,            0.005083
                 151,            0.019802,            0.041225,           0.0037292,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                 152,            0.020312,            0.043621,           0.0038251,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005017,            0.005017,            0.005017
                 153,            0.019834,            0.042142,           0.0038965,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004984,            0.004984,            0.004984
                 154,            0.020289,            0.042439,           0.0036892,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004951,            0.004951,            0.004951
                 155,            0.019514,            0.044166,            0.003727,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004918,            0.004918,            0.004918
                 156,            0.020178,            0.045002,           0.0036001,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004885,            0.004885,            0.004885
